,Fire (GFED),Anthropogenic GHG Inventory,Fire (CARB)
1997-12-31,7.058262514773083,,
1998-12-31,5.642567464949782,,
1999-12-31,31.69923988431506,,
2000-12-31,6.571790760049908,468.2,5.152988573611637
2001-12-31,6.057294234886219,483.3,5.605355468342999
2002-12-31,6.9717010339780545,482.9,11.673844337165278
2003-12-31,7.649049782352254,483.0,16.022991699371367
2004-12-31,5.993434467973887,490.9,4.441009967700482
2005-12-31,2.9534620623288115,483.9,1.6846108429132016
2006-12-31,11.870936437209568,480.6,12.681033584551795
2007-12-31,11.169897628865366,487.9,19.093356024033614
2008-12-31,38.359470809683145,484.2,38.34195811481957
2009-12-31,7.403838262195637,454.6,8.078699683950957
2010-12-31,1.61173068315682,448.2,1.0811655610738669
2011-12-31,2.2846086531267096,443.9,2.9090403917618843
2012-12-31,15.464212790403401,451.6,13.332754488938274
2013-12-31,18.451820247045926,447.6,15.962733997846689
2014-12-31,20.896069930178385,443.4,17.67582398499634
2015-12-31,24.716827962720238,440.8,19.045080401486466
2016-12-31,7.475788601692777,429.2,10.328725731948731
2017-12-31,39.765351820274866,424.5,30.838050915152984
2018-12-31,65.23338044689544,425.3,38.85475636439411
2019-12-31,7.6805146492086935,,4.5801062758309286
2020-12-31,173.0634246096539,,
